time,latitude,longitude,biomass_kg_per_m,station
2021-06-11 00:00:00+00:00,17.9394,-67.04,0.0,ML2
2021-06-11 00:00:00+00:00,17.943748,-67.009384,7.4296875,C3_West
2021-06-11 00:00:00+00:00,17.954287,-67.050186,8.453125,E1
2021-06-11 00:00:00+00:00,17.939789,-67.04021,21.617188,ML1
2021-06-11 00:00:00+00:00,17.97034,-67.04777,0.0,G1
2021-06-11 00:00:00+00:00,17.972672,-67.06536,4.40625,MJ3
2021-06-11 00:00:00+00:00,17.942287,-67.07675,22.140625,SC
2021-06-11 00:00:00+00:00,17.968758,-67.076935,12.0,MJ2
2021-06-11 00:00:00+00:00,17.973782,-67.06234,1.421875,MJ4
2021-06-11 00:00:00+00:00,17.943077,-67.05644,3.2890625,L1
2021-06-11 00:00:00+00:00,17.944336,-67.002266,45.648438,C1_East
2021-06-11 00:00:00+00:00,17.943632,-67.00623,22.539062,C2_Center
2021-06-16 00:00:00+00:00,17.942287,-67.07675,2.1171875,SC
2021-06-16 00:00:00+00:00,17.954287,-67.050186,14.6171875,E1
2021-06-16 00:00:00+00:00,17.943748,-67.009384,8.3984375,C3_West
2021-06-16 00:00:00+00:00,17.939789,-67.04021,20.6875,ML1
2021-06-16 00:00:00+00:00,17.9394,-67.04,0.0,ML2
2021-06-16 00:00:00+00:00,17.968758,-67.076935,35.617188,MJ2
2021-06-16 00:00:00+00:00,17.944336,-67.002266,29.046875,C1_East
2021-06-16 00:00:00+00:00,17.943632,-67.00623,16.453125,C2_Center
2021-06-16 00:00:00+00:00,17.972672,-67.06536,0.0,MJ3
2021-06-16 00:00:00+00:00,17.943077,-67.05644,0.6796875,L1
2021-06-16 00:00:00+00:00,17.973782,-67.06234,0.0,MJ4
2021-06-16 00:00:00+00:00,17.97034,-67.04777,0.0,G1
2021-06-22 00:00:00+00:00,17.943632,-67.00623,0.8828125,C2_Center
2021-06-22 00:00:00+00:00,17.973782,-67.06234,4.8515625,MJ4
2021-06-22 00:00:00+00:00,17.944336,-67.002266,32.320312,C1_East
2021-06-22 00:00:00+00:00,17.943077,-67.05644,0.921875,L1
2021-06-22 00:00:00+00:00,17.972672,-67.06536,0.4375,MJ3
2021-06-22 00:00:00+00:00,17.942287,-67.07675,0.0,SC
2021-06-22 00:00:00+00:00,17.97034,-67.04777,2.1484375,G1
2021-06-22 00:00:00+00:00,17.943748,-67.009384,15.40625,C3_West
2021-06-22 00:00:00+00:00,17.939789,-67.04021,17.351562,ML1
2021-06-22 00:00:00+00:00,17.9394,-67.04,0.0,ML2
2021-06-22 00:00:00+00:00,17.954287,-67.050186,15.53125,E1
2021-06-22 00:00:00+00:00,17.968758,-67.076935,13.046875,MJ2
2021-06-30 00:00:00+00:00,17.973782,-67.06234,0.0,MJ4
2021-06-30 00:00:00+00:00,17.943632,-67.00623,44.773438,C2_Center
2021-06-30 00:00:00+00:00,17.943077,-67.05644,24.296875,L1
2021-06-30 00:00:00+00:00,17.942287,-67.07675,51.273438,SC
2021-06-30 00:00:00+00:00,17.968758,-67.076935,13.046875,MJ2
2021-06-30 00:00:00+00:00,17.972672,-67.06536,0.0,MJ3
2021-06-30 00:00:00+00:00,17.97034,-67.04777,0.0,G1
2021-06-30 00:00:00+00:00,17.944336,-67.002266,34.710938,C1_East
2021-06-30 00:00:00+00:00,17.954287,-67.050186,9.5390625,E1
2021-06-30 00:00:00+00:00,17.9394,-67.04,0.0,ML2
2021-06-30 00:00:00+00:00,17.939789,-67.04021,44.898438,ML1
2021-06-30 00:00:00+00:00,17.943748,-67.009384,3.6171875,C3_West
2021-07-08 00:00:00+00:00,17.939789,-67.04021,0.0,ML1
2021-07-08 00:00:00+00:00,17.944336,-67.002266,3.203125,C1_East
2021-07-08 00:00:00+00:00,17.9394,-67.04,0.0,ML2
2021-07-08 00:00:00+00:00,17.943748,-67.009384,0.0,C3_West
2021-07-08 00:00:00+00:00,17.97034,-67.04777,0.0,G1
2021-07-08 00:00:00+00:00,17.943077,-67.05644,1.171875,L1
2021-07-08 00:00:00+00:00,17.942287,-67.07675,0.6171875,SC
2021-07-08 00:00:00+00:00,17.943632,-67.00623,0.0,C2_Center
2021-07-08 00:00:00+00:00,17.972672,-67.06536,0.0,MJ3
2021-07-08 00:00:00+00:00,17.968758,-67.076935,0.0,MJ2
2021-07-08 00:00:00+00:00,17.954287,-67.050186,9.90625,E1
2021-07-08 00:00:00+00:00,17.973782,-67.06234,0.0,MJ4
2021-07-21 00:00:00+00:00,17.972672,-67.06536,0.0,MJ3
2021-07-21 00:00:00+00:00,17.944336,-67.002266,0.0,C1_East
2021-07-21 00:00:00+00:00,17.97034,-67.04777,1.453125,G1
2021-07-21 00:00:00+00:00,17.968758,-67.076935,35.617188,MJ2
2021-07-21 00:00:00+00:00,17.973782,-67.06234,3.046875,MJ4
2021-07-21 00:00:00+00:00,17.942287,-67.07675,1.7734375,SC
2021-07-21 00:00:00+00:00,17.943077,-67.05644,67.61719,L1
2021-07-21 00:00:00+00:00,17.954287,-67.050186,11.40625,E1
2021-07-21 00:00:00+00:00,17.9394,-67.04,0.6171875,ML2
2021-07-21 00:00:00+00:00,17.943748,-67.009384,1.0390625,C3_West
2021-07-21 00:00:00+00:00,17.943632,-67.00623,1.8203125,C2_Center
2021-07-23 00:00:00+00:00,17.973782,-67.06234,0.0,MJ4
2021-07-23 00:00:00+00:00,17.943748,-67.009384,0.0,C3_West
2021-07-23 00:00:00+00:00,17.943632,-67.00623,0.0,C2_Center
2021-07-23 00:00:00+00:00,17.944336,-67.002266,17.6875,C1_East
2021-07-23 00:00:00+00:00,17.972672,-67.06536,0.0,MJ3
2021-07-23 00:00:00+00:00,17.968758,-67.076935,35.617188,MJ2
2021-07-23 00:00:00+00:00,17.97034,-67.04777,0.0,G1
2021-07-23 00:00:00+00:00,17.942287,-67.07675,0.0,SC
2021-07-23 00:00:00+00:00,17.943077,-67.05644,13.7109375,L1
2021-07-23 00:00:00+00:00,17.954287,-67.050186,0.84375,E1
2021-07-23 00:00:00+00:00,17.939789,-67.04021,5.1796875,ML1
2021-07-29 00:00:00+00:00,17.944336,-67.002266,37.726562,C1_East
2021-07-29 00:00:00+00:00,17.968758,-67.076935,13.046875,MJ2
2021-07-29 00:00:00+00:00,17.939789,-67.04021,218.92188,ML1
2021-07-29 00:00:00+00:00,17.943748,-67.009384,0.0,C3_West
2021-07-29 00:00:00+00:00,17.942287,-67.07675,78.8125,SC
2021-07-29 00:00:00+00:00,17.943077,-67.05644,0.0,L1
2021-07-29 00:00:00+00:00,17.973782,-67.06234,0.0,MJ4
2021-07-29 00:00:00+00:00,17.954287,-67.050186,15.1484375,E1
2021-07-29 00:00:00+00:00,17.943632,-67.00623,0.3515625,C2_Center
2021-07-29 00:00:00+00:00,17.972672,-67.06536,0.0,MJ3
2021-07-29 00:00:00+00:00,17.97034,-67.04777,0.0,G1
2021-08-05 00:00:00+00:00,17.944336,-67.002266,22.71875,C1_East
2021-08-05 00:00:00+00:00,17.973782,-67.06234,4.28125,MJ4
2021-08-05 00:00:00+00:00,17.972672,-67.06536,0.0,MJ3
2021-08-05 00:00:00+00:00,17.943632,-67.00623,8.8828125,C2_Center
2021-08-05 00:00:00+00:00,17.97034,-67.04777,0.0,G1
2021-08-05 00:00:00+00:00,17.943077,-67.05644,0.0,L1
2021-08-05 00:00:00+00:00,17.939789,-67.04021,1.5078125,ML1
2021-08-05 00:00:00+00:00,17.954287,-67.050186,14.3515625,E1
2021-08-05 00:00:00+00:00,17.943748,-67.009384,1.7734375,C3_West
2021-08-05 00:00:00+00:00,17.968758,-67.076935,35.617188,MJ2
2021-08-05 00:00:00+00:00,17.942287,-67.07675,62.132812,SC
2021-08-10 00:00:00+00:00,17.943632,-67.00623,0.0,C2_Center
2021-08-10 00:00:00+00:00,17.968758,-67.076935,6.1171875,MJ2
2021-08-10 00:00:00+00:00,17.942287,-67.07675,61.09375,SC
2021-08-10 00:00:00+00:00,17.97034,-67.04777,0.0,G1
2021-08-10 00:00:00+00:00,17.973782,-67.06234,0.0,MJ4
2021-08-10 00:00:00+00:00,17.944336,-67.002266,10.046875,C1_East
2021-08-10 00:00:00+00:00,17.972672,-67.06536,0.0,MJ3
2021-08-10 00:00:00+00:00,17.943748,-67.009384,0.0,C3_West
2021-08-10 00:00:00+00:00,17.939789,-67.04021,0.0,ML1
2021-08-10 00:00:00+00:00,17.943077,-67.05644,0.0,L1
2021-08-10 00:00:00+00:00,17.954287,-67.050186,6.8984375,E1
2021-08-13 00:00:00+00:00,17.943748,-67.009384,1.6171875,C3_West
2021-08-13 00:00:00+00:00,17.939789,-67.04021,31.4375,ML1
2021-08-13 00:00:00+00:00,17.972672,-67.06536,0.75,MJ3
2021-08-13 00:00:00+00:00,17.97034,-67.04777,0.0,G1
2021-08-13 00:00:00+00:00,17.968758,-67.076935,35.617188,MJ2
2021-08-13 00:00:00+00:00,17.943077,-67.05644,0.0,L1
2021-08-13 00:00:00+00:00,17.973782,-67.06234,6.28125,MJ4
2021-08-13 00:00:00+00:00,17.954287,-67.050186,15.0703125,E1
2021-08-13 00:00:00+00:00,17.942287,-67.07675,81.77344,SC
2021-08-13 00:00:00+00:00,17.943632,-67.00623,7.203125,C2_Center
2021-08-13 00:00:00+00:00,17.944336,-67.002266,63.53125,C1_East
2021-08-20 00:00:00+00:00,17.972672,-67.06536,0.0,MJ3
2021-08-20 00:00:00+00:00,17.943077,-67.05644,0.0,L1
2021-08-20 00:00:00+00:00,17.968758,-67.076935,0.0,MJ2
2021-08-20 00:00:00+00:00,17.944336,-67.002266,21.546875,C1_East
2021-08-20 00:00:00+00:00,17.943632,-67.00623,0.0,C2_Center
2021-08-20 00:00:00+00:00,17.973782,-67.06234,7.6171875,MJ4
2021-08-20 00:00:00+00:00,17.97034,-67.04777,5.6171875,G1
2021-08-20 00:00:00+00:00,17.942287,-67.07675,0.3984375,SC
2021-08-20 00:00:00+00:00,17.939789,-67.04021,0.4609375,ML1
2021-08-20 00:00:00+00:00,17.943748,-67.009384,0.0,C3_West
2021-08-20 00:00:00+00:00,17.954287,-67.050186,0.0,E1
2021-08-27 00:00:00+00:00,17.943632,-67.00623,0.5390625,C2_Center
2021-08-27 00:00:00+00:00,17.944336,-67.002266,19.148438,C1_East
2021-08-27 00:00:00+00:00,17.942287,-67.07675,0.6171875,SC
2021-08-27 00:00:00+00:00,17.973782,-67.06234,4.4609375,MJ4
2021-08-27 00:00:00+00:00,17.97034,-67.04777,0.0,G1
2021-08-27 00:00:00+00:00,17.972672,-67.06536,0.0,MJ3
2021-08-27 00:00:00+00:00,17.968758,-67.076935,0.0,MJ2
2021-08-27 00:00:00+00:00,17.943077,-67.05644,0.0,L1
2021-08-27 00:00:00+00:00,17.939789,-67.04021,6.2421875,ML1
2021-08-27 00:00:00+00:00,17.943748,-67.009384,0.0,C3_West
2021-08-27 00:00:00+00:00,17.954287,-67.050186,11.9609375,E1
2021-09-01 00:00:00+00:00,17.943632,-67.00623,0.0,C2_Center
2021-09-01 00:00:00+00:00,17.968758,-67.076935,0.0,MJ2
2021-09-01 00:00:00+00:00,17.973782,-67.06234,0.0,MJ4
2021-09-01 00:00:00+00:00,17.944336,-67.002266,7.7421875,C1_East
2021-09-01 00:00:00+00:00,17.942287,-67.07675,0.0,SC
2021-09-01 00:00:00+00:00,17.97034,-67.04777,3.4765625,G1
2021-09-01 00:00:00+00:00,17.972672,-67.06536,0.0,MJ3
2021-09-01 00:00:00+00:00,17.939789,-67.04021,0.0,ML1
2021-09-01 00:00:00+00:00,17.954287,-67.050186,2.890625,E1
2021-09-01 00:00:00+00:00,17.943748,-67.009384,0.0,C3_West
2021-09-01 00:00:00+00:00,17.943077,-67.05644,0.0,L1
2021-09-13 00:00:00+00:00,17.972672,-67.06536,0.0,MJ3
2021-09-13 00:00:00+00:00,17.942287,-67.07675,0.0,SC
