time,station,biomass_kg_per_m,biomass_t_r100,biomass_t_r250,biomass_t_r600,biomass_t_domain,biomass_t_r100_lag1w,biomass_t_r250_lag1w,biomass_t_r600_lag1w,biomass_t_domain_lag1w,biomass_t_r100_lag2w,biomass_t_r250_lag2w,biomass_t_r600_lag2w,biomass_t_domain_lag2w,biomass_t_r100_lag3w,biomass_t_r250_lag3w,biomass_t_r600_lag3w,biomass_t_domain_lag3w,latitude,longitude,biomass_t_r100_trend,biomass_t_r250_trend,biomass_t_r600_trend,biomass_t_domain_trend,doy_sin,doy_cos,doy_sin2,doy_cos2
2021-07-29 00:00:00+00:00,C1_East,37.726562,380291.3137492727,406464.92997095035,1343108.6205933215,2487443.56000925,447562.68269823,518381.7447874651,1350869.4238077854,3553164.4429587955,,,,,118629.39342900713,307000.3783027061,868866.3806104001,1338870.467824688,17.944336,-67.002266,-0.16287863158523308,-0.24321374660032546,-0.005761605175665707,-0.35658297788628346,-0.45370308603134424,-0.8911529104063088,0.8086376511543126,0.5883070194512693
2021-07-29 00:00:00+00:00,MJ2,13.046875,389307.9204705469,424878.40618576633,1316103.238694622,2487443.56000925,443597.57247657486,562090.220440027,1380622.0962732157,3553164.4429587955,,,,,127620.02748338993,317264.4938741002,876409.0924587421,1338870.467824688,17.968758,-67.076935,-0.1305468689458369,-0.2798587721638448,-0.04785887780283282,-0.35658297788628346,-0.45370308603134424,-0.8911529104063088,0.8086376511543126,0.5883070194512693
2021-07-29 00:00:00+00:00,MJ4,0.0,384155.3056486446,427657.62146012817,1325213.4437925562,2487443.56000925,443855.0667612521,565610.997933253,1385147.1237978677,3553164.4429587955,,,,,128097.36622044002,317712.90806152613,876409.0924587421,1338870.467824688,17.973782,-67.06234,-0.14445082018833943,-0.2795830632025922,-0.04423279179668782,-0.35658297788628346,-0.45370308603134424,-0.8911529104063088,0.8086376511543126,0.5883070194512693
2021-07-29 00:00:00+00:00,E1,15.1484375,387529.92613681767,414271.63868508325,1320844.7356826349,2487443.56000925,444833.2362085746,531154.9786129426,1357099.728690128,3553164.4429587955,,,,,120572.48615551522,314489.6031087318,868944.1490045082,1338870.467824688,17.954287,-67.050186,-0.1379060548735822,-0.24853141851456328,-0.02707836676909281,-0.35658297788628346,-0.45370308603134424,-0.8911529104063088,0.8086376511543126,0.5883070194512693
2021-07-29 00:00:00+00:00,ML1,218.92188,387328.4397198058,414192.1185629707,1327454.626182018,2487443.56000925,448469.53888285055,527764.8778936338,1362377.1101319094,3553164.4429587955,,,,,118395.88686632332,314071.01020104106,870657.5087096125,1338870.467824688,17.939789,-67.04021,-0.146567394896989,-0.24232043726848218,-0.02596773612940062,-0.35658297788628346,-0.45370308603134424,-0.8911529104063088,0.8086376511543126,0.5883070194512693
2021-08-05 00:00:00+00:00,MJ4,4.28125,971387.2670424017,932931.6769370503,3070256.788301466,5016565.706431552,384155.3056486446,427657.62146012817,1325213.4437925562,2487443.56000925,443855.0667612521,565610.997933253,1385147.1237978677,3553164.4429587955,,,,,17.973782,-67.06234,0.9276767357118612,0.7800077767120577,0.8401872374900439,0.7014898743312195,-0.5574684374327892,-0.8301981337405212,0.9256185127518922,0.3784578825324888
2021-08-05 00:00:00+00:00,C2_Center,8.8828125,933758.0861488831,903701.5033324306,3063494.852610225,5016565.706431552,381277.4052599877,405807.77913025196,1342934.084936859,2487443.56000925,448527.39803291875,517777.5698696315,1349435.073623218,3553164.4429587955,,,,,17.943632,-67.00623,0.8956886364689023,0.8006181557079604,0.8246991188644603,0.7014898743312195,-0.5574684374327892,-0.8301981337405212,0.9256185127518922,0.3784578825324888
2021-08-05 00:00:00+00:00,L1,0.0,963371.9922317478,923516.9386654873,3077842.15556007,5016565.706431552,390418.25525794964,427611.01947729447,1333578.6771337106,2487443.56000925,446077.8933060034,559495.817833614,1389005.9605441585,3553164.4429587955,,,,,17.943077,-67.05644,0.9032194848052288,0.7699739361849982,0.8363622642737578,0.7014898743312195,-0.5574684374327892,-0.8301981337405212,0.9256185127518922,0.3784578825324888
2021-08-05 00:00:00+00:00,MJ2,35.617188,980375.8218252329,930247.4313713474,3066879.7575047836,5016565.706431552,389307.9204705469,424878.40618576633,1316103.238694622,2487443.56000925,443597.57247657486,562090.220440027,1380622.0962732157,3553164.4429587955,,,,,17.968758,-67.076935,0.9235638413421512,0.7836463024725386,0.8459849666791506,0.7014898743312195,-0.5574684374327892,-0.8301981337405212,0.9256185127518922,0.3784578825324888
2021-08-05 00:00:00+00:00,E1,14.3515625,965143.6228923465,911060.0070517836,3060304.1094932905,5016565.706431552,387529.92613681767,414271.63868508325,1320844.7356826349,2487443.56000925,444833.2362085746,531154.9786129426,1357099.728690128,3553164.4429587955,,,,,17.954287,-67.050186,0.9124823033979421,0.788085557517217,0.8402423796959386,0.7014898743312195,-0.5574684374327892,-0.8301981337405212,0.9256185127518922,0.3784578825324888
