biomass_t_r100,biomass_t_r250,biomass_t_r600,biomass_t_domain,station,time,latitude,longitude
306033.4408170985,265661.0614932972,1040264.7689932236,2156824.6685840064,MJ2,2021-05-20,17.968758,-67.076935
306033.4408170984,265661.0614932972,1040264.7689932236,2156824.6685840064,MJ1,2021-05-20,17.967564,-67.07653
295980.981812333,266796.1100174459,1052520.3610747347,2156824.6685840064,L1,2021-05-20,17.943077,-67.05644
296840.572067734,252791.27266614407,1035031.9313481324,2156824.6685840064,E1,2021-05-20,17.954287,-67.050186
295491.0915448495,241714.0869440768,1028669.7250080956,2156824.6685840064,C3_West,2021-05-20,17.943748,-67.009384
295491.0915448495,241714.0869440768,1028669.7250080956,2156824.6685840064,C2_Center,2021-05-20,17.943632,-67.00623
290119.686622442,241714.0869440768,1029782.5715861334,2156824.6685840064,C1_East,2021-05-20,17.944336,-67.002266
299798.4970626913,252577.3873212442,1035172.6622812572,2156824.6685840064,G1,2021-05-20,17.97034,-67.04777
152623.96859531765,49840.6893673126,447664.0559023139,1708379.6890514246,SC,2021-05-27,17.942287,-67.07675
151592.48862770697,50414.21234119956,448350.7573908993,1708379.6890514246,MJ4,2021-05-27,17.973782,-67.06234
151337.9380730961,50362.256860771406,447242.46451301954,1708379.6890514246,MJ3,2021-05-27,17.972672,-67.06536
148884.17324671446,44141.5428701426,443742.0656778574,1708379.6890514246,ML1,2021-05-27,17.939789,-67.04021
148884.17324671446,44141.5428701426,443742.0656778574,1708379.6890514246,ML3,2021-05-27,17.9392,-67.04
148884.17324671446,44141.5428701426,443742.0656778574,1708379.6890514246,ML2,2021-05-27,17.9394,-67.04
152081.75031049948,50245.18348139978,446956.3033141336,1708379.6890514246,MJ2,2021-05-27,17.968758,-67.076935
152081.75031049948,50245.18348139978,446956.3033141336,1708379.6890514246,MJ1,2021-05-27,17.967564,-67.07653
148681.56389919348,44959.91539504367,445097.25943001336,1708379.6890514246,C2_Center,2021-05-27,17.943632,-67.00623
152213.49917940088,50001.02250429979,448858.28594092256,1708379.6890514246,L1,2021-05-27,17.943077,-67.05644
